Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-1067.741	-1673.735	605.9932	1.290487	3.084191	0.6670651	1.75515
6	-1069.356	-1675.622	606.2659	1.201905	3.215808	0.5065351	1.75515
12	-1061.359	-1668.282	606.9229	1.286331	2.63434	0.5697244	1.317932
18	-1046.254	-1653.294	607.04	1.367133	1.846949	0.5697244	1.494469
24	-1070.896	-1677.206	606.3101	1.354836	2.45517	0.5697244	1.785267
30	-1065.292	-1671.723	606.4302	1.189772	2.217598	0.4962787	1.979012
36	-1067.603	-1674.063	606.4604	1.295122	2.217598	0.8356049	1.560643
42	-1073.407	-1679.449	606.0418	1.216369	2.438746	0.6584753	1.981343
48	-1055.157	-1661.873	606.7161	1.258826	3.201275	0.4506462	1.460207
54	-1059.182	-1664.939	605.757	1.006246	3.201275	0.4506462	2.291336
60	-1059.635	-1664.842	605.2068	1.026463	3.201275	0.5173856	2.554096
66	-1071.963	-1677.133	605.1701	1.075265	2.494332	0.4700555	2.788647
72	-1067.492	-1673.235	605.7431	0.9213373	2.494332	0.4700555	2.530571
78	-1071.416	-1677.142	605.7262	1.083316	1.377515	0.7191859	2.637569
84	-1071.293	-1676.823	605.5298	1.162955	3.784405	0.5839378	2.054286
90	-1054.141	-1660.58	606.439	1.100184	2.650388	0.5839378	1.792236
96	-1069.849	-1675.881	606.0312	1.133435	3.284872	0.5074903	1.943087
102	-1071.065	-1677.384	606.3191	1.314384	2.694087	0.8379867	1.47203
108	-1083.936	-1689.956	606.0196	1.068223	2.694087	0.8379867	1.862497
114	-1059.575	-1666.151	606.5758	1.147436	2.16248	0.5248371	1.898391
120	-1067.698	-1674.386	606.688	1.05337	2.365565	0.4498891	1.898391
126	-1052.381	-1658.643	606.2624	1.196254	1.692948	0.9570594	1.898391
132	-1062.475	-1668.872	606.3975	1.163716	2.430711	0.5473079	1.888518
138	-1070.054	-1675.9	605.8462	0.9886411	3.497952	0.4467975	2.175247
144	-1059.789	-1665.759	605.9702	1.180184	2.713379	0.7751495	1.864009
150	-1063.666	-1669.802	606.1354	1.213006	2.774242	0.6040215	1.864009
156	-1072.231	-1678.871	606.6399	1.077329	2.506146	0.6040215	1.695287
162	-1052.873	-1659.336	606.4631	1.196547	3.346251	0.441832	1.661635
168	-1042.405	-1647.948	605.5432	1.003448	2.443257	0.6788653	2.422822
174	-1054.007	-1659.517	605.5091	0.9373694	2.469926	0.687359	2.470325
180	-1066.796	-1672.631	605.8349	1.082924	2.469926	0.6144115	2.234594
186	-1057.96	-1664.03	606.0697	1.148217	2.825696	0.8437935	1.726264
192	-1032.074	-1638.108	606.0344	1.059241	2.825696	0.7539974	1.885654
198	-1043.971	-1650.638	606.667	1.239578	1.727252	0.8512713	1.650013
204	-1048.996	-1655.693	606.6967	1.490936	2.380522	0.5698304	1.432645
210	-1041.467	-1647.651	606.1844	1.137547	2.802994	0.5516602	1.926308
216	-1047.323	-1653.171	605.848	0.9320499	2.675592	0.5555569	2.315392
222	-1057.487	-1663.594	606.1068	1.04443	2.83603	0.7180298	1.874038
228	-1054.59	-1660.375	605.7849	1.136133	2.83603	0.7473312	2.004248
234	-1052.002	-1658.739	606.7368	1.121771	2.615983	0.7076323	1.448854
240	-1041.716	-1647.945	606.229	0.9934828	2.417553	0.6166292	2.050876
246	-1054.412	-1660.851	606.439	1.000306	1.812391	0.6751781	2.079743
252	-1069.971	-1675.129	605.1587	1.02225	4.404923	0.9114305	1.985428
258	-1055.021	-1661.115	606.0939	1.169495	2.949401	0.8463214	1.653473
264	-1044.921	-1650.94	606.0185	1.312875	2.895395	0.9763841	1.51902
270	-1067.425	-1673.532	606.107	1.094513	2.553264	0.6135862	2.023236
276	-1058.202	-1664.173	605.9717	1.111434	3.10011	0.6135862	1.939015
282	-1059.906	-1665.607	605.7008	1.002805	3.010475	0.7676488	2.081568
